,Subject ID,GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Leadership,Count: Competition,Gender,First Generation,work_experience_int
48,1266,65,48,30,1.0,A,3.67,0,0,1,0,0,0,0,0,0,0,0,Female,1.0,335.0
49,1267,91,63,94,1.0,R,3.8,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
50,1268,84,44,48,1.0,A,3.23,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,1765.0
51,1269,65,31,49,2.0,R,3.65,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
52,1271,77,48,30,3.0,A,3.29,0,0,1,0,0,0,0,0,0,0,0,Female,1.0,519.0
53,1272,99,39,49,1.0,R,3.98,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,0.0
54,1273,61,35,30,4.0,A,3.43,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
55,1274,69,94,30,4.0,R,3.0,0,0,0,0,0,3,0,0,0,0,0,Female,0.0,0.0
56,1275,86,77,11,1.0,R,3.47,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
57,1276,57,99,30,1.0,A,3.0,0,0,0,0,0,0,0,0,0,0,1,Male,0.0,0.0
58,1277,15,9,6,4.0,D,2.75,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
59,1278,12,98,11,4.0,D,3.0,0,0,0,0,0,0,1,1,0,0,0,Female,0.0,0.0
60,1279,86,80,67,3.0,A,3.97,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,1004.0
61,1281,40,90,49,4.0,A,3.0,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
62,1282,32,94,11,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
63,1283,99,94,49,2.0,R,3.59,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
64,1284,65,27,49,4.0,A,3.3,0,0,1,0,0,1,0,0,0,0,0,Male,0.0,2830.0
65,1285,80,39,73,2.0,R,3.84,0,0,0,0,1,1,0,0,0,0,0,Female,0.0,0.0
66,1286,97,64,92,3.0,R,3.89,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
67,1287,99,23,99,1.0,A,3.24,1,0,0,0,1,1,0,0,0,0,0,Female,1.0,3317.0
68,1288,56,48,51,1.0,A,3.6,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,1888.0
69,1291,99,62,63,3.0,A,3.85,1,0,0,0,0,0,0,0,0,0,0,Female,0.0,700.0
70,1292,75,6,45,2.0,D,3.48,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
71,1293,77,99,48,4.0,R,3.0,0,0,0,0,0,3,0,0,0,0,0,Male,0.0,0.0
72,1295,95,48,49,1.0,A,3.79,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,914.0
73,1296,49,31,49,4.0,R,3.92,0,0,0,0,1,0,0,0,0,0,0,Female,0.0,0.0
74,1297,61,9,30,2.0,A,3.46,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,153.0
75,1298,80,60,49,1.0,R,3.44,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,0.0
76,1299,99,52,73,1.0,A,3.87,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,1735.0
