GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Competition,Gender,Ethnicity,First Generation,work_experience_int
12,98,11,4.0,D,3.0,0,0,0,0,0,0,1,1,0,0,Female,Not Reported,0.0,0.0
86,80,67,3.0,A,3.97,0,0,1,0,0,0,0,0,0,0,Male,White,0.0,1004.0
40,90,49,4.0,A,3.0,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
32,94,11,4.0,R,3.0,0,0,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
99,94,49,2.0,R,3.59,0,0,0,0,0,0,0,0,0,0,Male,White,0.0,0.0
65,27,49,4.0,A,3.3,0,0,1,0,0,1,0,0,0,0,Male,White,0.0,2830.0
80,39,73,2.0,R,3.84,0,0,0,0,1,1,0,0,0,0,Female,White,0.0,0.0
97,64,92,3.0,R,3.89,0,0,0,0,0,1,0,0,0,0,Female,White,0.0,0.0
99,23,99,1.0,A,3.24,1,0,0,0,1,1,0,0,0,0,Female,White,1.0,3317.0
56,48,51,1.0,A,3.6,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,1888.0
99,62,63,3.0,A,3.85,1,0,0,0,0,0,0,0,0,0,Female,White,0.0,700.0
75,6,45,2.0,D,3.48,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
77,99,48,4.0,R,3.0,0,0,0,0,0,3,0,0,0,0,Male,Not Reported,0.0,0.0
95,48,49,1.0,A,3.79,0,0,1,0,0,1,0,0,0,0,Female,Asian,0.0,914.0
49,31,49,4.0,R,3.92,0,0,0,0,1,0,0,0,0,0,Female,White,0.0,0.0
61,9,30,2.0,A,3.46,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,153.0
80,60,49,1.0,R,3.44,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,0.0
99,52,73,1.0,A,3.87,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,1735.0
97,83,49,2.0,R,3.9,0,0,0,0,0,2,1,0,0,0,Female,White,0.0,0.0
83,71,11,2.0,D,3.0,0,0,0,0,0,0,0,0,0,2,Male,Not Reported,0.0,0.0
91,74,96,1.0,R,3.86,0,0,0,0,1,1,0,0,0,0,Female,White,0.0,0.0
